Team,Round 22 Opponent,Day (R22),Round 23 Opponent,Day (R23),Round 24 Opponent,Day (R24),Round 25 Opponent,Day (R25)
Anadolu Efes,Baskonia,T1,@ Hapoel Tel Aviv,T1,Olympiacos,T1,@ Fenerbahçe,T2
Real Madrid,Barcelona,T2,@ Olimpia Milano,T1,Monaco,T1,@ Paris Basketball,T1
Zalgiris Kaunas,@ Maccabi Tel Aviv,T1,@ ASVEL,T1,@ Olimpia Milano,T1,@ Baskonia,T3
Maccabi Tel Aviv,Zalgiris Kaunas,T1,@ Olympiacos,T1,Panathinaikos,T1,@ Valencia Basket,T2
Monaco,@ Paris Basketball,T1,Crvena Zvezda,T1,@ Real Madrid,T1,Virtus Bologna,T3
Paris Basketball,Monaco,T1,@ Valencia Basket,T1,Dubai Basketball,T1,Real Madrid,T1
Hapoel Tel Aviv,@ ASVEL,T2,Efes,T1,@ Partizan Belgrade,T2,Bayern Munich,T2
ASVEL,Hapoel Tel Aviv,T2,Zalgiris Kaunas,T1,Barcelona,T2,Panathinaikos,T3
Olympiacos,@ Partizan Belgrade,T1,Maccabi Tel Aviv,T1,@ Anadolu Efes,T1,Barcelona,T2
Fenerbahçe,Valencia Basket,T2,@ Virtus Bologna,T2,Baskonia,T2,Anadolu Efes,T2
Partizan Belgrade,Olympiacos,T1,@ Bayern Munich,T1,Hapoel Tel Aviv,T2,@ Olimpia Milano,T2
Bayern Munich,Panathinaikos,T1,Partizan Belgrade,T1,Valencia Basket,T1,@ Hapoel Tel Aviv,T2
Crvena Zvezda,@ Olimpia Milano,T1,@ Monaco,T1,@ Virtus Bologna,T2,Dubai Basketball,T3
Barcelona,@ Real Madrid,T2,Dubai Basketball,T1,@ ASVEL,T2,@ Olympiacos,T2
Panathinaikos,@ Bayern Munich,T1,Baskonia,T1,@ Maccabi Tel Aviv,T1,@ ASVEL,T3
Valencia Basket,@ Fenerbahçe,T2,Paris Basketball,T1,@ Bayern Munich,T1,Maccabi Tel Aviv,T2
Olimpia Milano,Crvena Zvezda,T1,Real Madrid,T1,Zalgiris Kaunas,T1,Partizan Belgrade,T2
Virtus Bologna,@ Dubai Basketball,T2,Fenerbahçe,T2,Crvena Zvezda,T2,@ Monaco,T3
Baskonia,@ Anadolu Efes,T1,@ Panathinaikos,T1,@ Fenerbahçe,T2,Zalgiris Kaunas,T3
Dubai Basketball,Virtus Bologna,T2,@ Barcelona,T1,@ Paris Basketball,T1,@ Crvena Zvezda,T3
